dok_NrPelny,dok_DataWyst,ob_TowId,tw_Nazwa,tw_Symbol
PA 1680/11/2021,2021-11-27,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1771/12/2021,2021-12-07,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1923/12/2021,2021-12-19,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 2019/12/2021,2021-12-23,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 2020/12/2021,2021-12-23,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 2033/12/2021,2021-12-23,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 2037/12/2021,2021-12-23,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 141/01/2022,2022-01-18,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 469/07/2021,2021-07-17,5,Mydło Lastryko,4S40104
PA 555/07/2021,2021-07-28,5,Mydło Lastryko,4S40104
PA 971/09/2021,2021-09-13,5,Mydło Lastryko,4S40104
PA 997/09/2021,2021-09-15,5,Mydło Lastryko,4S40104
PA 1044/09/2021,2021-09-20,5,Mydło Lastryko,4S40104
PA 1111/09/2021,2021-09-27,5,Mydło Lastryko,4S40104
PA 1453/11/2021,2021-11-02,5,Mydło Lastryko,4S40104
PA 1471/11/2021,2021-11-04,5,Mydło Lastryko,4S40104
PA 1472/11/2021,2021-11-04,5,Mydło Lastryko,4S40104
PA 1642/11/2021,2021-11-23,5,Mydło Lastryko,4S40104
PA 1704/11/2021,2021-11-29,5,Mydło Lastryko,4S40104
PA 2012/12/2021,2021-12-23,5,Mydło Lastryko,4S40104
PA 350/02/2022,2022-02-12,5,Mydło Lastryko,4S40104
PA 41/05/2021,2021-05-26,6,Mydło Melisa Dynia Peeling,4S40105
PA 125/06/2021,2021-06-05,6,Mydło Melisa Dynia Peeling,4S40105
PA 236/06/2021,2021-06-17,6,Mydło Melisa Dynia Peeling,4S40105
PA 850/08/2021,2021-08-31,6,Mydło Melisa Dynia Peeling,4S40105
PA 1128/09/2021,2021-09-29,6,Mydło Melisa Dynia Peeling,4S40105
PA 1569/11/2021,2021-11-13,6,Mydło Melisa Dynia Peeling,4S40105
PA 1688/11/2021,2021-11-27,6,Mydło Melisa Dynia Peeling,4S40105
PA 2002/12/2021,2021-12-22,6,Mydło Melisa Dynia Peeling,4S40105
PA 313/06/2021,2021-06-28,7,"Mydło Miś - z lanoliną, delikatne",4S40106
PA 555/07/2021,2021-07-28,7,"Mydło Miś - z lanoliną, delikatne",4S40106
PA 1334/10/2021,2021-10-22,7,"Mydło Miś - z lanoliną, delikatne",4S40106
PA 1662/11/2021,2021-11-25,7,"Mydło Miś - z lanoliną, delikatne",4S40106
PA 2012/12/2021,2021-12-23,7,"Mydło Miś - z lanoliną, delikatne",4S40106
PA 58/05/2021,2021-05-28,8,Mydło Porzeczka - peelingujące,4S40107
PA 60/05/2021,2021-05-28,8,Mydło Porzeczka - peelingujące,4S40107
PA 562/07/2021,2021-07-29,8,Mydło Porzeczka - peelingujące,4S40107
PA 1158/10/2021,2021-10-04,8,Mydło Porzeczka - peelingujące,4S40107
PA 1248/10/2021,2021-10-13,8,Mydło Porzeczka - peelingujące,4S40107
PA 1807/12/2021,2021-12-11,8,Mydło Porzeczka - peelingujące,4S40107
PA 2012/12/2021,2021-12-23,8,Mydło Porzeczka - peelingujące,4S40107
PA 250/01/2022,2022-01-29,8,Mydło Porzeczka - peelingujące,4S40107
PA 295/02/2022,2022-02-05,8,Mydło Porzeczka - peelingujące,4S40107
PA 447/02/2022,2022-02-21,8,Mydło Porzeczka - peelingujące,4S40107
PA 23/05/2021,2021-05-25,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 74/05/2021,2021-05-29,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 225/06/2021,2021-06-16,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 464/07/2021,2021-07-17,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 511/07/2021,2021-07-22,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 872/09/2021,2021-09-03,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 1000/09/2021,2021-09-16,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 1176/10/2021,2021-10-05,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 88/01/2022,2022-01-13,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 250/01/2022,2022-01-29,9,Mydło w płynie Cytryna i Mięta,4S40108
PA 83/05/2021,2021-05-29,10,Mydło w płynie Korzenna Kola,4S40109
PA 121/06/2021,2021-06-04,10,Mydło w płynie Korzenna Kola,4S40109
PA 472/07/2021,2021-07-17,10,Mydło w płynie Korzenna Kola,4S40109
PA 505/07/2021,2021-07-22,10,Mydło w płynie Korzenna Kola,4S40109
PA 525/07/2021,2021-07-23,10,Mydło w płynie Korzenna Kola,4S40109
PA 677/08/2021,2021-08-09,10,Mydło w płynie Korzenna Kola,4S40109
PA 1105/09/2021,2021-09-27,10,Mydło w płynie Korzenna Kola,4S40109
PA 1111/09/2021,2021-09-27,10,Mydło w płynie Korzenna Kola,4S40109
PA 1263/10/2021,2021-10-15,10,Mydło w płynie Korzenna Kola,4S40109
PA 1687/11/2021,2021-11-27,10,Mydło w płynie Korzenna Kola,4S40109
PA 2076/12/2021,2021-12-30,10,Mydło w płynie Korzenna Kola,4S40109
PA 5/01/2022,2022-01-03,10,Mydło w płynie Korzenna Kola,4S40109
PA 115/06/2021,2021-06-04,11,Mydło w płynie Miłość,4S40110
PA 124/06/2021,2021-06-05,11,Mydło w płynie Miłość,4S40110
PA 511/07/2021,2021-07-22,11,Mydło w płynie Miłość,4S40110
PA 677/08/2021,2021-08-09,11,Mydło w płynie Miłość,4S40110
PA 990/09/2021,2021-09-14,11,Mydło w płynie Miłość,4S40110
PA 1004/09/2021,2021-09-16,11,Mydło w płynie Miłość,4S40110
PA 1043/09/2021,2021-09-20,11,Mydło w płynie Miłość,4S40110
PA 1073/09/2021,2021-09-24,11,Mydło w płynie Miłość,4S40110
PA 1169/10/2021,2021-10-05,11,Mydło w płynie Miłość,4S40110
PA 1169/10/2021,2021-10-05,11,Mydło w płynie Miłość,4S40110
PA 1888/12/2021,2021-12-18,11,Mydło w płynie Miłość,4S40110
PA 41/01/2022,2022-01-07,11,Mydło w płynie Miłość,4S40110
PA 96/01/2022,2022-01-14,11,Mydło w płynie Miłość,4S40110
PA 296/02/2022,2022-02-05,11,Mydło w płynie Miłość,4S40110
PA 436/02/2022,2022-02-19,11,Mydło w płynie Miłość,4S40110
PA 850/08/2021,2021-08-31,12,Mydło Węglowe z aktywnym węglem do cery trądzikowe,4S40111
PA 966/09/2021,2021-09-11,12,Mydło Węglowe z aktywnym węglem do cery trądzikowe,4S40111
PA 1384/10/2021,2021-10-27,12,Mydło Węglowe z aktywnym węglem do cery trądzikowe,4S40111
PA 1881/12/2021,2021-12-17,12,Mydło Węglowe z aktywnym węglem do cery trądzikowe,4S40111
PA 199/06/2021,2021-06-12,13,Odżywka do włosów w kostce,4S40112
PA 676/08/2021,2021-08-09,13,Odżywka do włosów w kostce,4S40112
PA 828/08/2021,2021-08-28,13,Odżywka do włosów w kostce,4S40112
PA 921/09/2021,2021-09-07,13,Odżywka do włosów w kostce,4S40112
PA 1277/10/2021,2021-10-16,13,Odżywka do włosów w kostce,4S40112
PA 1396/10/2021,2021-10-28,13,Odżywka do włosów w kostce,4S40112
PA 1410/10/2021,2021-10-30,13,Odżywka do włosów w kostce,4S40112
PA 1457/11/2021,2021-11-02,13,Odżywka do włosów w kostce,4S40112
PA 1615/11/2021,2021-11-20,13,Odżywka do włosów w kostce,4S40112
PA 1857/12/2021,2021-12-16,13,Odżywka do włosów w kostce,4S40112
PA 1950/12/2021,2021-12-21,13,Odżywka do włosów w kostce,4S40112
PA 2080/12/2021,2021-12-30,13,Odżywka do włosów w kostce,4S40112
PA 8/01/2022,2022-01-03,13,Odżywka do włosów w kostce,4S40112
PA 270/02/2022,2022-02-01,13,Odżywka do włosów w kostce,4S40112
PA 99/06/2021,2021-06-02,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 142/06/2021,2021-06-08,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 465/07/2021,2021-07-17,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 778/08/2021,2021-08-23,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 828/08/2021,2021-08-28,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1009/09/2021,2021-09-17,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1277/10/2021,2021-10-16,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1280/10/2021,2021-10-16,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1378/10/2021,2021-10-26,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1410/10/2021,2021-10-30,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1458/11/2021,2021-11-02,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1529/11/2021,2021-11-08,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1615/11/2021,2021-11-20,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1791/12/2021,2021-12-09,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 1794/12/2021,2021-12-10,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 2080/12/2021,2021-12-30,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 8/01/2022,2022-01-03,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 117/01/2022,2022-01-15,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 270/02/2022,2022-02-01,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 410/02/2022,2022-02-17,14,Okrągła puszka na szampon/odżywkę,4S70100
PA 98/06/2021,2021-06-01,15,Olejek do masażu Miłość,4S40114
PA 124/06/2021,2021-06-05,15,Olejek do masażu Miłość,4S40114
PA 421/07/2021,2021-07-10,15,Olejek do masażu Miłość,4S40114
PA 450/07/2021,2021-07-16,15,Olejek do masażu Miłość,4S40114
PA 920/09/2021,2021-09-07,15,Olejek do masażu Miłość,4S40114
PA 970/09/2021,2021-09-13,15,Olejek do masażu Miłość,4S40114
PA 1480/11/2021,2021-11-05,15,Olejek do masażu Miłość,4S40114
PA 1536/11/2021,2021-11-09,15,Olejek do masażu Miłość,4S40114
PA 1583/11/2021,2021-11-16,15,Olejek do masażu Miłość,4S40114
PA 1637/11/2021,2021-11-23,15,Olejek do masażu Miłość,4S40114
PA 1648/11/2021,2021-11-24,15,Olejek do masażu Miłość,4S40114
PA 1667/11/2021,2021-11-26,15,Olejek do masażu Miłość,4S40114
PA 1822/12/2021,2021-12-13,15,Olejek do masażu Miłość,4S40114
PA 2005/12/2021,2021-12-23,15,Olejek do masażu Miłość,4S40114
PA 2041/12/2021,2021-12-23,15,Olejek do masażu Miłość,4S40114
PA 95/01/2022,2022-01-14,15,Olejek do masażu Miłość,4S40114
PA 208/01/2022,2022-01-24,15,Olejek do masażu Miłość,4S40114
PA 349/02/2022,2022-02-12,15,Olejek do masażu Miłość,4S40114
PA 434/02/2022,2022-02-19,15,Olejek do masażu Miłość,4S40114
PA 436/02/2022,2022-02-19,15,Olejek do masażu Miłość,4S40114
PA 431/07/2021,2021-07-13,16,Olejek do pielęgnacji Kaczuszka,4S40115
PA 586/07/2021,2021-07-31,16,Olejek do pielęgnacji Kaczuszka,4S40115
PA 216/01/2022,2022-01-25,16,Olejek do pielęgnacji Kaczuszka,4S40115
PA 364/02/2022,2022-02-14,16,Olejek do pielęgnacji Kaczuszka,4S40115
PA 2/05/2021,2021-05-22,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 109/06/2021,2021-06-04,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 116/06/2021,2021-06-04,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 157/06/2021,2021-06-09,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 257/06/2021,2021-06-21,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 513/07/2021,2021-07-22,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 570/07/2021,2021-07-30,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 576/07/2021,2021-07-30,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 904/09/2021,2021-09-06,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 970/09/2021,2021-09-13,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 255/01/2022,2022-01-29,17,Superlekki olejek do ciała Neroli + Mandarynka,4S40116
PA 77/05/2021,2021-05-29,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 115/06/2021,2021-06-04,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 262/06/2021,2021-06-22,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 296/06/2021,2021-06-26,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 494/07/2021,2021-07-21,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 514/07/2021,2021-07-22,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 1268/10/2021,2021-10-15,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 1457/11/2021,2021-11-02,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 1530/11/2021,2021-11-08,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 1565/11/2021,2021-11-13,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 265/02/2022,2022-02-01,18,Superlekki olejek do ciała Śliwka + Wanilia,4S40117
PA 16/05/2021,2021-05-24,19,Szampon do włosów w kostce,4S40118
PA 142/06/2021,2021-06-08,19,Szampon do włosów w kostce,4S40118
PA 199/06/2021,2021-06-12,19,Szampon do włosów w kostce,4S40118
PA 277/06/2021,2021-06-25,19,Szampon do włosów w kostce,4S40118
PA 390/07/2021,2021-07-09,19,Szampon do włosów w kostce,4S40118
PA 465/07/2021,2021-07-17,19,Szampon do włosów w kostce,4S40118
PA 472/07/2021,2021-07-17,19,Szampon do włosów w kostce,4S40118
PA 536/07/2021,2021-07-24,19,Szampon do włosów w kostce,4S40118
PA 680/08/2021,2021-08-09,19,Szampon do włosów w kostce,4S40118
PA 1239/10/2021,2021-10-13,19,Szampon do włosów w kostce,4S40118
PA 1270/10/2021,2021-10-16,19,Szampon do włosów w kostce,4S40118
PA 1378/10/2021,2021-10-26,19,Szampon do włosów w kostce,4S40118
PA 1410/10/2021,2021-10-30,19,Szampon do włosów w kostce,4S40118
PA 1457/11/2021,2021-11-02,19,Szampon do włosów w kostce,4S40118
PA 1740/12/2021,2021-12-03,19,Szampon do włosów w kostce,4S40118
PA 1792/12/2021,2021-12-09,19,Szampon do włosów w kostce,4S40118
PA 1794/12/2021,2021-12-10,19,Szampon do włosów w kostce,4S40118
PA 2033/12/2021,2021-12-23,19,Szampon do włosów w kostce,4S40118
PA 2087/12/2021,2021-12-31,19,Szampon do włosów w kostce,4S40118
PA 202/01/2022,2022-01-24,19,Szampon do włosów w kostce,4S40118
PA 97/06/2021,2021-06-01,20,Waligóra - mydło do włosów i brody,4S40119
PA 848/08/2021,2021-08-31,20,Waligóra - mydło do włosów i brody,4S40119
PA 1471/11/2021,2021-11-04,20,Waligóra - mydło do włosów i brody,4S40119
PA 200/01/2022,2022-01-22,20,Waligóra - mydło do włosów i brody,4S40119
PA 42/05/2021,2021-05-26,21,Wiosenny mus do ciała,4S40120
PA 68/05/2021,2021-05-28,21,Wiosenny mus do ciała,4S40120
PA 86/05/2021,2021-05-29,21,Wiosenny mus do ciała,4S40120
PA 88/05/2021,2021-05-29,21,Wiosenny mus do ciała,4S40120
PA 123/06/2021,2021-06-05,21,Wiosenny mus do ciała,4S40120
PA 217/06/2021,2021-06-15,21,Wiosenny mus do ciała,4S40120
PA 302/06/2021,2021-06-26,21,Wiosenny mus do ciała,4S40120
PA 1169/10/2021,2021-10-05,21,Wiosenny mus do ciała,4S40120
PA 1834/12/2021,2021-12-14,21,Wiosenny mus do ciała,4S40120
PA 1951/12/2021,2021-12-21,21,Wiosenny mus do ciała,4S40120
PA 98/06/2021,2021-06-01,22,Wyrwidąb - mydło prawdziwych mężczyzn,4S40121
PA 299/06/2021,2021-06-26,22,Wyrwidąb - mydło prawdziwych mężczyzn,4S40121
PA 1344/10/2021,2021-10-23,22,Wyrwidąb - mydło prawdziwych mężczyzn,4S40121
PA 1781/12/2021,2021-12-08,22,Wyrwidąb - mydło prawdziwych mężczyzn,4S40121
PA 2002/12/2021,2021-12-22,22,Wyrwidąb - mydło prawdziwych mężczyzn,4S40121
PA 24/05/2021,2021-05-25,23,Esencja z kwasami Acerola Cytrusowa 50ml,IO40100
PA 24/05/2021,2021-05-25,23,Esencja z kwasami Acerola Cytrusowa 50ml,IO40100
PA 887/09/2021,2021-09-04,23,Esencja z kwasami Acerola Cytrusowa 50ml,IO40100
PA 1221/10/2021,2021-10-09,23,Esencja z kwasami Acerola Cytrusowa 50ml,IO40100
PA 2022/12/2021,2021-12-23,23,Esencja z kwasami Acerola Cytrusowa 50ml,IO40100
PA 2070/12/2021,2021-12-29,23,Esencja z kwasami Acerola Cytrusowa 50ml,IO40100
PA 807/08/2021,2021-08-27,24,Pasta do mycia peelingująca Ryż i Kokos 120ml,IO40101
PA 938/09/2021,2021-09-09,24,Pasta do mycia peelingująca Ryż i Kokos 120ml,IO40101
PA 1221/10/2021,2021-10-09,24,Pasta do mycia peelingująca Ryż i Kokos 120ml,IO40101
PA 1974/12/2021,2021-12-21,26,Maseczka Żurawina Dzika Róża /120ml,IO40103
PA 759/08/2021,2021-08-20,27,Masło do ciała May Chang /120ml,IO40104
PA 78/01/2022,2022-01-12,27,Masło do ciała May Chang /120ml,IO40104
PA 155/06/2021,2021-06-09,28,Peeling do ciała Rozmaryn Limonka /250ml,IO40105
PA 878/09/2021,2021-09-03,28,Peeling do ciała Rozmaryn Limonka /250ml,IO40105
PA 1345/10/2021,2021-10-23,28,Peeling do ciała Rozmaryn Limonka /250ml,IO40105
PA 134/06/2021,2021-06-07,29,Peeling do ciała Mandarynka Pomarańcza /250ml,IO40106
PA 326/06/2021,2021-06-29,29,Peeling do ciała Mandarynka Pomarańcza /250ml,IO40106
PA 454/07/2021,2021-07-16,29,Peeling do ciała Mandarynka Pomarańcza /250ml,IO40106
PA 459/07/2021,2021-07-16,29,Peeling do ciała Mandarynka Pomarańcza /250ml,IO40106
PA 916/09/2021,2021-09-07,29,Peeling do ciała Mandarynka Pomarańcza /250ml,IO40106
PA 1346/10/2021,2021-10-23,29,Peeling do ciała Mandarynka Pomarańcza /250ml,IO40106
PA 1478/11/2021,2021-11-05,29,Peeling do ciała Mandarynka Pomarańcza /250ml,IO40106
PA 433/07/2021,2021-07-13,30,"Serum Krwawnik, tamanu i drzewo herbaciane /10ml",IO40107
PA 1181/10/2021,2021-10-06,30,"Serum Krwawnik, tamanu i drzewo herbaciane /10ml",IO40107
PA 1782/12/2021,2021-12-08,30,"Serum Krwawnik, tamanu i drzewo herbaciane /10ml",IO40107
PA 146/01/2022,2022-01-18,30,"Serum Krwawnik, tamanu i drzewo herbaciane /10ml",IO40107
PA 294/02/2022,2022-02-05,30,"Serum Krwawnik, tamanu i drzewo herbaciane /10ml",IO40107
PA 678/08/2021,2021-08-09,31,Serum Wiesiołek Baobab /10ml,IO40108
PA 1129/09/2021,2021-09-29,31,Serum Wiesiołek Baobab /10ml,IO40108
PA 1200/10/2021,2021-10-08,31,Serum Wiesiołek Baobab /10ml,IO40108
PA 1782/12/2021,2021-12-08,31,Serum Wiesiołek Baobab /10ml,IO40108
PA 1935/12/2021,2021-12-20,31,Serum Wiesiołek Baobab /10ml,IO40108
PA 32/05/2021,2021-05-26,32,Serum Awokado /10ml,IO40109
PA 424/07/2021,2021-07-12,32,Serum Awokado /10ml,IO40109
PA 751/08/2021,2021-08-19,32,Serum Awokado /10ml,IO40109
PA 1141/10/2021,2021-10-01,32,Serum Awokado /10ml,IO40109
PA 171/01/2022,2022-01-21,32,Serum Awokado /10ml,IO40109
PA 97/06/2021,2021-06-01,33,Olejek do brody Pikantna trawa cytrynowa /30ml,IO40110
PA 103/06/2021,2021-06-02,33,Olejek do brody Pikantna trawa cytrynowa /30ml,IO40110
PA 451/07/2021,2021-07-16,33,Olejek do brody Pikantna trawa cytrynowa /30ml,IO40110
PA 513/07/2021,2021-07-22,33,Olejek do brody Pikantna trawa cytrynowa /30ml,IO40110
PA 654/08/2021,2021-08-07,33,Olejek do brody Pikantna trawa cytrynowa /30ml,IO40110
PA 1753/12/2021,2021-12-04,33,Olejek do brody Pikantna trawa cytrynowa /30ml,IO40110
PA 309/06/2021,2021-06-26,34,Olejek do masażu Sezam Maliny /50ml,IO40111
PA 608/08/2021,2021-08-03,34,Olejek do masażu Sezam Maliny /50ml,IO40111
PA 1565/11/2021,2021-11-13,34,Olejek do masażu Sezam Maliny /50ml,IO40111
PA 218/01/2022,2022-01-25,34,Olejek do masażu Sezam Maliny /50ml,IO40111
PA 964/09/2021,2021-09-11,35,Masło do ciała Mandarynka Bergamotka /120ml,IO40112
PA 1126/09/2021,2021-09-29,35,Masło do ciała Mandarynka Bergamotka /120ml,IO40112
PA 66/01/2022,2022-01-10,35,Masło do ciała Mandarynka Bergamotka /120ml,IO40112
PA 1088/09/2021,2021-09-25,37,Balsam do ust Różowy grejpfrut /15 ml,IO40114
PA 1283/10/2021,2021-10-16,37,Balsam do ust Różowy grejpfrut /15 ml,IO40114
PA 51/05/2021,2021-05-27,38,Peeling do ust Mango Kokos /15ml,IO40115
PA 1122/09/2021,2021-09-29,38,Peeling do ust Mango Kokos /15ml,IO40115
PA 1678/11/2021,2021-11-27,38,Peeling do ust Mango Kokos /15ml,IO40115
PA 930/09/2021,2021-09-08,39,Balsam do ciała Słodka Pomarańcza /240ml,IO40116
PA 537/07/2021,2021-07-24,40,Olejek do demakijażu Śliwka /100ml,IO40117
PA 604/08/2021,2021-08-03,40,Olejek do demakijażu Śliwka /100ml,IO40117
PA 546/07/2021,2021-07-28,41,Serum rozświetlające Dzika róża /10ml,IO40118
